Date	Time	Version	BT1 ulkolämpötila	BT1 Mean	BT2	BT3	BT10 lk sisään	BT11 LK ulos	Calc Supply	GM	Alarm	RELAYS PCA BASE	BT12	BT14	BT17	Tot.int.add.	Prio	BT6	BT50
25.12.2012	18:51:42	1199	-63	-94	376	337	24	22	367	228	0	2	367	401	249	0	10	447	200
25.12.2012	18:51:47	1199	-63	-94	376	337	25	22	367	228	0	2	367	401	249	0	10	447	200
25.12.2012	18:51:52	1199	-63	-94	375	337	26	22	367	228	0	2	367	400	250	0	10	447	200
25.12.2012	18:51:57	1199	-63	-94	375	337	26	22	367	228	0	2	366	399	250	0	10	447	200
25.12.2012	18:52:02	1199	-63	-94	374	337	26	22	367	236	0	2	366	398	251	0	10	447	200
25.12.2012	18:53:02	1199	-63	-94	370	335	29	26	367	239	0	2	361	390	256	0	10	447	200
25.12.2012	18:54:02	1199	-63	-94	366	334	32	27	367	238	0	2	358	384	259	0	10	447	200
25.12.2012	18:55:02	1199	-63	-94	363	333	34	29	367	234	0	2	355	377	262	0	10	447	200
25.12.2012	18:56:02	1199	-63	-94	360	332	37	30	367	230	0	2	352	371	264	0	10	446	200
25.12.2012	18:57:02	1199	-63	-94	358	331	38	32	364	224	0	2	350	366	266	0	10	446	201
25.12.2012	18:58:02	1199	-63	-94	355	331	41	32	364	215	0	2	348	363	267	0	10	446	201
25.12.2012	18:59:02	1199	-63	-93	353	330	43	34	364	201	0	2	346	360	267	0	10	446	201
25.12.2012	19:00:02	1199	-63	-93	351	329	46	35	364	188	0	2	344	358	268	0	10	446	201
25.12.2012	19:01:02	1199	-63	-93	349	328	48	37	364	176	0	2	343	355	268	0	10	446	201
25.12.2012	19:02:02	1199	-63	-93	347	327	50	37	364	159	0	2	342	353	267	0	10	445	201
25.12.2012	19:03:02	1199	-64	-93	345	326	53	38	362	143	0	2	341	350	267	0	10	445	202
25.12.2012	19:04:02	1199	-63	-93	344	325	55	40	361	123	0	2	340	348	267	0	10	445	202
25.12.2012	19:05:02	1199	-63	-93	343	324	57	40	361	105	0	2	339	346	266	0	10	445	202
25.12.2012	19:06:02	1199	-64	-93	342	323	59	41	362	85	0	2	338	343	266	0	10	445	202
25.12.2012	19:07:02	1199	-64	-93	341	322	61	41	362	65	0	2	337	341	265	0	10	444	202
25.12.2012	19:08:02	1199	-64	-93	341	321	63	43	362	44	0	2	336	339	265	0	10	444	202
25.12.2012	19:09:02	1199	-64	-93	340	320	65	44	362	22	0	2	335	337	264	0	10	445	202
25.12.2012	19:10:02	1199	-64	-93	339	319	66	44	362	-1	0	2	334	335	263	0	10	443	202
25.12.2012	19:11:02	1199	-64	-93	339	318	68	46	362	-24	0	2	333	333	262	0	10	443	202
25.12.2012	19:12:02	1199	-65	-93	338	317	70	46	362	-48	0	2	332	331	262	0	10	442	202
25.12.2012	19:13:02	1199	-65	-93	337	316	72	47	362	-73	0	2	331	331	261	0	10	442	202
25.12.2012	19:14:02	1199	-65	-93	336	315	73	47	362	-99	0	2	331	329	260	0	10	441	202
25.12.2012	19:15:02	1199	-65	-93	336	313	75	49	362	-125	0	2	330	327	259	0	10	440	202
25.12.2012	19:16:02	1199	-65	-93	335	313	76	49	362	-152	0	2	329	326	259	0	10	439	202
25.12.2012	19:17:02	1199	-65	-93	334	311	78	50	362	-180	0	2	328	324	258	0	10	438	202
25.12.2012	19:18:02	1199	-65	-92	333	310	79	50	362	-209	0	2	327	323	257	0	10	437	202
25.12.2012	19:19:02	1199	-65	-92	332	309	80	52	362	-239	0	2	326	321	257	0	10	435	202
25.12.2012	19:20:02	1199	-65	-92	332	308	82	52	362	-269	0	2	325	320	256	0	10	434	202
25.12.2012	19:21:02	1199	-65	-92	331	307	84	52	359	-300	0	2	324	319	255	0	10	433	203
25.12.2012	19:22:02	1199	-65	-92	331	306	84	53	362	-331	0	2	323	317	254	0	10	432	202
25.12.2012	19:23:02	1199	-65	-92	330	305	86	54	362	-363	0	2	323	316	254	0	10	431	202
25.12.2012	19:24:02	1199	-65	-92	329	304	87	55	359	-395	0	2	322	315	253	0	10	430	203
25.12.2012	19:25:02	1199	-65	-92	328	303	88	56	362	-426	0	2	321	314	252	0	10	429	202
25.12.2012	19:26:02	1199	-65	-92	327	302	89	56	359	-458	0	2	320	313	252	0	10	429	203
25.12.2012	19:27:02	1199	-65	-92	327	301	91	58	359	-490	0	2	319	312	251	0	10	428	203
25.12.2012	19:28:02	1199	-65	-92	326	300	91	58	359	-526	0	2	319	311	251	0	10	427	203
25.12.2012	19:29:02	1199	-65	-92	325	299	92	59	359	-563	0	2	318	309	250	0	10	427	203
25.12.2012	19:30:02	1199	-65	-92	324	298	94	59	362	-598	0	2	317	308	249	0	10	427	202
25.12.2012	19:31:02	1199	-65	-92	323	297	95	61	359	-634	0	6	316	307	249	0	30	426	203
25.12.2012	19:32:02	1199	-65	-92	311	279	18	33	359	-634	0	7	314	473	3	0	30	427	203
25.12.2012	19:33:02	1199	-65	-92	328	284	17	-7	359	-634	0	7	333	538	-8	0	30	426	203
25.12.2012	19:34:02	1199	-65	-92	334	288	18	-18	359	-660	0	7	335	583	29	0	30	426	203
25.12.2012	19:35:02	1199	-65	-92	337	291	21	-17	359	-682	0	7	339	595	28	0	30	426	203
25.12.2012	19:36:03	1199	-65	-92	341	294	22	-17	359	-700	0	7	345	607	30	0	30	426	203
25.12.2012	19:37:03	1199	-65	-91	344	297	22	-16	359	-715	0	7	348	612	30	0	30	426	203
25.12.2012	19:38:03	1199	-65	-91	349	302	22	-16	359	-726	0	7	352	621	32	0	30	426	203
25.12.2012	19:39:03	1199	-65	-91	352	306	22	-15	359	-733	0	7	355	626	29	0	30	426	203
25.12.2012	19:40:03	1199	-65	-91	356	309	22	-15	359	-737	0	7	358	632	32	0	30	426	203
25.12.2012	19:41:03	1199	-65	-91	358	313	21	-16	359	-738	0	7	360	636	28	0	30	425	203
25.12.2012	19:42:03	1199	-65	-91	360	316	21	-15	359	-737	0	7	361	641	30	0	30	425	203
25.12.2012	19:43:03	1199	-66	-91	363	318	19	-17	359	-734	0	7	365	646	27	0	30	425	203
25.12.2012	19:44:03	1199	-66	-91	365	321	21	-16	359	-728	0	7	365	650	30	0	30	425	203
25.12.2012	19:45:03	1199	-66	-91	368	323	20	-16	359	-719	0	7	369	654	29	0	30	425	203
25.12.2012	19:46:03	1199	-67	-91	369	326	14	-17	359	-708	0	7	371	658	24	0	30	425	203
25.12.2012	19:47:03	1199	-67	-91	371	327	11	-21	359	-696	0	7	372	664	24	0	30	425	203
25.12.2012	19:48:03	1199	-67	-91	372	329	9	-23	359	-683	0	7	374	666	18	0	30	425	203
25.12.2012	19:49:03	1199	-67	-91	374	331	8	-25	359	-668	0	7	374	671	21	0	30	425	203
25.12.2012	19:50:03	1199	-67	-91	375	332	9	-25	359	-651	0	7	376	674	21	0	30	425	203
25.12.2012	19:51:03	1199	-67	-91	377	333	8	-25	359	-633	0	7	378	675	19	0	30	425	203
25.12.2012	19:52:03	1199	-67	-91	379	334	8	-25	359	-610	0	7	379	680	22	0	30	425	203
25.12.2012	19:53:03	1199	-67	-91	380	336	8	-25	359	-586	0	7	381	680	18	0	30	424	203
25.12.2012	19:54:03	1199	-67	-91	381	337	7	-25	359	-564	0	7	382	682	20	0	30	424	203
25.12.2012	19:55:03	1199	-67	-91	382	338	7	-25	356	-538	0	7	383	685	21	0	30	424	204
25.12.2012	19:56:03	1199	-67	-91	384	339	8	-25	356	-514	0	7	385	685	18	0	30	423	204
25.12.2012	19:57:03	1199	-67	-91	385	340	6	-25	356	-489	0	7	384	689	21	0	30	422	204
25.12.2012	19:58:03	1199	-67	-91	385	341	4	-26	359	-463	0	7	385	691	19	0	30	421	203
25.12.2012	19:59:03	1199	-67	-90	386	342	2	-26	356	-434	0	7	386	692	14	0	30	420	204
25.12.2012	20:00:03	1199	-69	-90	386	353	2	-28	357	-434	0	15	387	696	18	0	20	419	204
25.12.2012	20:01:03	1199	-70	-90	449	421	2	-26	356	-434	0	15	472	762	18	0	20	416	204
25.12.2012	20:02:03	1199	-70	-90	496	463	1	-23	356	-434	0	15	509	801	18	0	20	414	204
25.12.2012	20:03:03	1199	-70	-90	525	484	1	-21	356	-434	0	15	533	829	24	0	20	414	204
25.12.2012	20:04:03	1199	-70	-90	543	496	1	-20	356	-434	0	15	547	848	27	0	20	417	204
25.12.2012	20:05:03	1199	-70	-90	553	504	1	-19	356	-434	0	15	556	862	24	0	20	420	204
25.12.2012	20:06:03	1199	-70	-90	560	509	1	-19	356	-434	0	15	562	872	24	0	20	423	204
25.12.2012	20:07:03	1199	-70	-90	566	515	0	-18	356	-434	0	15	567	883	24	0	20	427	204
25.12.2012	20:08:03	1199	-70	-90	571	520	1	-17	356	-434	0	15	572	893	29	0	20	431	204
25.12.2012	20:09:03	1199	-70	-90	575	524	-1	-18	356	-434	0	15	576	899	23	0	20	435	204
25.12.2012	20:10:03	1199	-71	-90	579	529	1	-17	356	-434	0	15	580	909	29	0	20	440	204
25.12.2012	20:11:03	1199	-72	-90	583	533	1	-17	356	-434	0	15	585	916	29	0	20	444	204
25.12.2012	20:12:03	1199	-72	-90	587	537	0	-17	356	-434	0	15	589	923	26	0	20	449	204
25.12.2012	20:13:03	1199	-72	-90	592	542	0	-17	356	-434	0	15	593	931	29	0	20	453	204
25.12.2012	20:14:03	1199	-72	-90	595	546	0	-12	356	-434	0	15	596	939	30	0	20	457	204
25.12.2012	20:15:03	1199	-72	-90	599	549	2	-12	356	-434	0	15	601	946	30	0	20	462	204
25.12.2012	20:16:03	1199	-72	-90	603	554	2	-12	356	-434	0	15	604	952	34	0	20	466	204
25.12.2012	20:17:03	1199	-72	-90	606	558	2	-12	356	-434	0	15	611	960	30	0	20	471	204
