Aika;Latitude;Longitude;Elevation;Azimuth;Sat1 SNR;Sat2 SNR;Sat3 SNR;Sat4 SNR;Sat5 SNR;Sat6 SNR;Sat7 SNR;Sat8 SNR;Sat9 SNR
12:01:55;60.38966;23.10266;72;203;32;39;14;38;34;16;0;30;18
12:01:56;60.38967;23.10265;72;203;32;40;14;37;35;16;0;31;18
12:01:57;60.38967;23.10265;72;203;32;40;14;37;35;16;0;31;18
12:01:58;60.38964;23.10265;72;203;32;40;14;37;35;17;0;31;18
12:01:59;60.38964;23.10265;72;203;32;40;14;37;35;20;0;31;18
12:02:00;60.38964;23.10265;72;203;32;40;14;37;35;21;0;32;18
12:02:01;60.38965;23.10265;72;203;32;40;14;37;35;20;0;33;18
12:02:02;60.38965;23.10264;72;203;32;40;13;37;35;19;0;33;18
12:02:03;60.38965;23.10264;72;203;32;41;13;37;35;19;0;33;18
12:02:04;60.38965;23.10263;72;203;32;41;13;37;36;19;0;33;18
12:02:05;60.38965;23.10263;72;203;32;41;13;37;36;19;0;33;18
12:02:06;60.38965;23.10263;72;203;32;41;13;37;36;19;0;33;18
12:02:07;60.38965;23.10263;72;203;32;41;14;37;36;19;0;33;18
12:02:08;60.38965;23.10263;72;203;32;41;14;37;36;19;0;33;18
12:02:09;60.38965;23.10263;72;203;32;41;14;37;36;19;0;33;18
12:02:10;60.38965;23.10263;72;203;32;41;14;37;36;20;0;33;18
12:02:11;60.38965;23.10263;72;203;32;41;14;37;37;20;0;33;18
12:02:12;60.38965;23.10263;72;203;32;41;14;37;37;21;0;33;18
12:02:13;60.38965;23.10263;72;203;32;41;14;37;37;21;0;33;18
12:02:14;60.38965;23.10263;72;203;32;41;14;37;37;21;0;33;18
12:02:15;60.38965;23.10263;72;203;32;41;14;37;37;22;0;33;18
12:02:16;60.38965;23.10263;72;203;32;41;15;37;37;22;0;32;18
12:02:17;60.38965;23.10263;72;203;32;41;15;37;37;22;0;32;19
12:02:18;60.38965;23.10263;72;203;32;41;15;37;37;22;0;31;19
12:02:19;60.38965;23.10263;72;203;32;41;15;37;37;22;0;31;19
12:02:20;60.38965;23.10263;72;203;32;41;15;37;37;22;0;30;20
12:02:21;60.38966;23.10263;72;203;32;41;15;37;37;22;0;29;20
12:02:22;60.38966;23.10263;72;203;32;41;15;37;37;22;0;28;20
